0,8,10,12,12.5,13,13.5,15,16,17,22,25,28,30,32,34,40,45,47.5,51,59,64.4,68,85
8,0.0,15.0,17.0,18.0,20.0,20.0,21.0,21.0,21.0,21.0,22.0,22.0,23.0,23.0,24.0,25.0,25.0,26.0,26.0,27.0,27.0,27.0,30.0
10,30.0,0.0,2.0,3.0,5.0,5.0,6.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,9.0,10.0,10.0,11.0,11.0,12.0,12.0,12.0,15.0
12,34.0,4.0,0.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,8.0,8.0,9.0,9.0,10.0,10.0,10.0,13.0
12.5,36.0,6.0,2.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,9.0,12.0
13,40.0,10.0,6.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,10.0
13.5,40.0,10.0,6.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,10.0
15,42.0,12.0,8.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,9.0
16,42.0,12.0,8.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,9.0
17,42.0,12.0,8.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,9.0
22,42.0,12.0,8.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,9.0
25,44.0,14.0,10.0,8.0,4.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,8.0
28,44.0,14.0,10.0,8.0,4.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,8.0
30,46.0,16.0,12.0,10.0,6.0,6.0,4.0,4.0,4.0,4.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,7.0
32,46.0,16.0,12.0,10.0,6.0,6.0,4.0,4.0,4.0,4.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,7.0
34,48.0,18.0,14.0,12.0,8.0,8.0,6.0,6.0,6.0,6.0,4.0,4.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,6.0
40,50.0,20.0,16.0,14.0,10.0,10.0,8.0,8.0,8.0,8.0,6.0,6.0,4.0,4.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,5.0
45,50.0,20.0,16.0,14.0,10.0,10.0,8.0,8.0,8.0,8.0,6.0,6.0,4.0,4.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,5.0
47.5,52.0,22.0,18.0,16.0,12.0,12.0,10.0,10.0,10.0,10.0,8.0,8.0,6.0,6.0,4.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,4.0
51,52.0,22.0,18.0,16.0,12.0,12.0,10.0,10.0,10.0,10.0,8.0,8.0,6.0,6.0,4.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,4.0
59,54.0,24.0,20.0,18.0,14.0,14.0,12.0,12.0,12.0,12.0,10.0,10.0,8.0,8.0,6.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,3.0
64.4,54.0,24.0,20.0,18.0,14.0,14.0,12.0,12.0,12.0,12.0,10.0,10.0,8.0,8.0,6.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,3.0
68,54.0,24.0,20.0,18.0,14.0,14.0,12.0,12.0,12.0,12.0,10.0,10.0,8.0,8.0,6.0,4.0,4.0,2.0,2.0,0.0,0.0,0.0,3.0
85,60.0,30.0,26.0,24.0,20.0,20.0,18.0,18.0,18.0,18.0,16.0,16.0,14.0,14.0,12.0,10.0,10.0,8.0,8.0,6.0,6.0,3.0,0.0
